full_name,editorial_team_abbr,until,
Monte Harrison,MIL,10/2/23,
Billy Hamilton,CWS,10/2/23,
Dairon Blanco,KC,10/2/23,
Tim Locastro,NYM,10/2/23,
Chadwick Tromp,ATL,10/2/23,
Julio Rodriguez,DET,10/2/23,
Eli White,ATL,10/2/23,
Terrance Gore,NYM,10/2/23,
Wynton Bernard,TOR,10/2/23,
Livan Soto,LAA,10/2/23,
Stone Garrett,WSH,10/2/23,
Trevor Story,BOS,7/1/23,
Joe Dunand,ATL,10/2/23,
Vaughn Grissom,ATL,10/2/23,
Diego Castillo,ARI,10/2/23,
Ford Proctor,SF,10/2/23,
Luke Williams,LAD,10/2/23,
Richie Martin,CIN,10/2/23,
Lewis Brinson,HOU,10/2/23,
Royce Lewis,MIN,10/2/23,
Abraham Almonte,NYM,10/2/23,
Brendon Davis,DET,10/2/23,
Tyler Naquin,MIL,10/2/23,
Hunter Strickland,CIN,10/2/23,
Francisco Alvarez,NYM,10/2/23,
Nick Plummer,CIN,10/2/23,
Roman Quinn,CLE,10/2/23,
Jerar Encarnacion,MIA,10/2/23,
Mark Kolozsvary,BAL,10/2/23,
Yairo Munoz,ARI,10/2/23,
Odubel Herrera,PHI,10/2/23,
Skye Bolt,MIL,10/2/23,
Jason Vosler,CIN,10/2/23,
Kyle Garlick,MIN,10/2/23,
Andrew Velazquez,LAA,10/2/23,
Ian Kennedy,TEX,10/2/23,
Daniel Norris,CLE,10/2/23,
Jonathan Davis,DET,10/2/23,
Joe Barlow,TEX,10/2/23,
Greg Allen,BOS,10/2/23,
Narciso Crook,BOS,10/2/23,
Raimel Tapia,BOS,10/2/23,
Charlie Culberson,TB,10/2/23,
Yadiel Hernandez,WSH,10/2/23,
Nelson Velazquez,CHC,10/2/23,
Miguel Andujar,PIT,10/2/23,
Nick Solak,CIN,10/2/23,
Dee Strange-Gordon,WSH,10/2/23,
Colin Moran,SEA,10/2/23,
Max Muncy,OAK,10/2/23,
Tyler Wade,OAK,10/2/23,
Franchy Cordero,BAL,10/2/23,
Dermis Garcia,OAK,10/2/23,
Jackson Stephens,ATL,10/2/23,
Bryan Shaw,CWS,10/2/23,
Matt Wallner,MIN,10/2/23,
Rafael Ortega,NYY,10/2/23,
Sean Bouchard,COL,10/2/23,
Willi Castro,MIN,10/2/23,
Jorge Alfaro,BOS,10/2/23,
Nolan Jones,COL,10/2/23,
Mark Contreras,MIN,10/2/23,
Hoy Park,ATL,10/2/23,
Jonathan Villar,CHC,10/2/23,
Brendan Rodgers,COL,10/2/23,
Travis Jankowski,TEX,10/2/23,
Jaylin Davis,NYM,10/2/23,
Jake Marisnick,CWS,10/2/23,
Charles Leblanc,MIA,10/2/23,
Juan Yepez,STL,10/2/23,
Wilmer Flores,DET,10/2/23,
David Bote,CHC,10/2/23,
Michael Chavis,WSH,10/2/23,
Luke Voit,MIL,10/2/23,
Ben Gamel,TB,10/2/23,
Vinny Capra,TOR,10/2/23,
Chad Pinder,CIN,10/2/23,
P.J. Higgins,ARI,10/2/23,
Gary Sanchez,MIN,10/2/23,
Stephen Piscotty,SF,10/2/23,
Matt Reynolds,CIN,10/2/23,
Peyton Burdick,MIA,10/2/23,
Brett Baty,NYM,10/2/23,
Jose Iglesias,MIA,10/2/23,
Daz Cameron,BAL,10/2/23,
Luis Garcia,DET,10/2/23,
Stuart Fairchild,CIN,10/2/23,
Rougned Odor,SD,10/2/23,
Noe Ramirez,ARI,10/2/23,
Reyes Moronta,TEX,10/2/23,
Jo Adell,LAA,10/2/23,
Caleb Hamilton,BOS,10/2/23,
Josh Staumont,KC,10/2/23,
Steven Duggar,LAD,10/2/23,
Austin Wynns,SF,10/2/23,
Nomar Mazara,BAL,10/2/23,
Andrelton Simmons,CHC,10/2/23,
Magneuris Sierra,ATL,10/2/23,
Luis Barrera,LAA,10/2/23,
Marwin Gonzalez,NYY,10/2/23,
Kole Calhoun,SEA,10/2/23,
Franmil Reyes,KC,4/1/23,
Nick Pratto,KC,10/2/23,
Lucas Gilbreath,COL,10/2/23,
Alfonso Rivas,SD,10/2/23,
Michael Perez,NYM,10/2/23,
Buddy Kennedy,ARI,10/2/23,
Andy Ibanez,DET,10/2/23,
Josh Palacios,PIT,10/2/23,
Jared Young,CHC,10/2/23,
Jack Mayfield,LAA,10/2/23,
